Species,Date,No.,Units,Frequency,Jan
Blackbird,2022-01-31,6,6,1.0,1.0
Blue tit,2022-01-31,6,6,1.0,1.0
Chaffinch,2022-01-31,1,6,0.2,0.2
Dunnock,2022-01-31,1,6,0.2,0.2
Fieldfare,2022-01-31,2,6,0.3,0.3
Goldfinch,2022-01-31,1,6,0.2,0.2
Great Spotted Woodpecker,2022-01-31,1,6,0.2,0.2
Great tit,2022-01-31,3,6,0.5,0.5
Green woodpecker,2022-01-31,1,6,0.2,0.2
Herring Gull,2022-01-31,4,6,0.7,0.7
House sparrow,2022-01-31,6,6,1.0,1.0
Jackdaw,2022-01-31,6,6,1.0,1.0
Magpie,2022-01-31,2,6,0.3,0.3
Mistle thrush,2022-01-31,2,6,0.3,0.3
Redwing,2022-01-31,2,6,0.3,0.3
Robin,2022-01-31,5,6,0.8,0.8
Rook,2022-01-31,4,6,0.7,0.7
Song Thrush,2022-01-31,3,6,0.5,0.5
Sparrowhawk,2022-01-31,1,6,0.2,0.2
Starling,2022-01-31,5,6,0.8,0.8
Wood pigeon,2022-01-31,3,6,0.5,0.5
Wren,2022-01-31,4,6,0.7,0.7
